tiers,pos,name,bye,rk,team,sos,ecr_vs_adp,player_id,ppr_rank,avg_draft_pos,pos_diff,ppr_auc_value,avg_auc_value,auc_diff
7,WR,Cole Beasley,7,57,BUF,3,-2,15349,143,133,-10,2,1,-1
7,WR,Henry Ruggs III,8,55,LV,1,-3,4241475,111,121,10,2,1,-1
7,WR,Jamison Crowder,6,67,NYJ,4,-4,2576716,197,166,-31,0,0,0
7,WR,Emmanuel Sanders,7,69,BUF,3,-4,13295,213,169,-44,0,0,0
7,WR,A.J. Green,12,75,ARI,2,-16,13983,202,164,-38,0,0,0
7,WR,Randall Cobb,13,78,GB,1,-17,14053,210,163,-47,0,0,0
7,WR,Marquez Callaway,6,77,NO,4,-28,4035170,147,133,-14,2,2,0
7,TE,Juwan Johnson,6,55,NO,4,-13,3929645,465,169,-296,0,0,0
7,TE,Kylen Granson,14,56,IND,4,,4039160,473,170,-303,0,0,0
7,TE,Geoff Swaim,13,57,TEN,2,,3046704,474,169,-305,0,0,0
7,TE,Jacob Harris,11,58,LAR,2,,3932144,1075,169,-906,0,0,0
7,TE,Darren Fells,9,59,DET,4,,15773,1022,169,-853,0,0,0
7,TE,Nick Boyle,8,60,BAL,4,,2574591,1045,169,-876,0,0,0
7,TE,Hunter Long,14,61,MIA,4,,4239944,1077,169,-908,0,0,0
7,TE,Jace Sternberger,13,63,GB,3,,3917962,1419,169,-1250,0,0,0
7,TE,Brycen Hopkins,11,65,LAR,2,,3918003,1034,169,-865,0,0,0
7,TE,Noah Gray,12,66,KC,3,,4240472,1129,169,-960,0,0,0
7,TE,Tommy Tremble,13,68,CAR,4,,4372780,1146,169,-977,0,0,0
