"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"150",11,"Alshon Jeffery",FA,"-","-","-"
"151",11,"Marquise Goodwin",CHI,"10","3 out of 5 stars","-38"
"152",11,"Dazz Newsome",FA,"-","-","-13"
"153",11,"Equanimeous St. Brown",FA,"-","-","-"
"154",11,"Kelvin Harmon",WAS,"9","3 out of 5 stars","-"
"155",11,"Lil'Jordan Humphrey",NO,"6","4 out of 5 stars","-"
"156",11,"Simi Fehoko",DAL,"7","1 out of 5 stars","-"
"157",11,"Kalif Raymond",DET,"9","1 out of 5 stars","-"
"158",11,"Jaelon Darden",TB,"9","2 out of 5 stars","-"
"159",11,"Frank Darby",ATL,"6","4 out of 5 stars","-"
"160",11,"Braxton Berrios",NYJ,"6","4 out of 5 stars","-"
"161",11,"Shi Smith",CAR,"13","5 out of 5 stars","-36"
"162",11,"Richie James Jr.",FA,"-","-","-"
"163",11,"Seth Williams",FA,"-","-","-"
"164",11,"Chad Beebe",FA,"-","-","-17"
"165",11,"Demetric Felton",CLE,"13","1 out of 5 stars","-22"
"166",11,"J.J. Arcega-Whiteside",PHI,"14","3 out of 5 stars","-"
"167",11,"Cameron Batson",TEN,"13","3 out of 5 stars","-"
"168",11,"Kenny Stills",BUF,"7","3 out of 5 stars","-"
"169",11,"Marquez Stevenson",BUF,"7","3 out of 5 stars","-"
"170",11,"Sage Surratt",FA,"-","-","-"
"171",11,"Jakeem Grant Sr.",MIA,"14","3 out of 5 stars","-"
"172",11,"Phillip Dorsett II",FA,"-","-","-"
"173",11,"Zay Jones",LV,"8","1 out of 5 stars","-25"
"174",11,"John Hightower",FA,"-","-","-"
"175",11,"Trent Sherfield",SF,"6","5 out of 5 stars","-23"
"176",11,"Geronimo Allison",FA,"-","-","-"
"177",11,"Christian Blake",ATL,"6","4 out of 5 stars","-"
"178",11,"Noah Brown",DAL,"7","1 out of 5 stars","-"
"179",11,"Tajae Sharpe",ATL,"6","4 out of 5 stars","-"
"180",11,"Gunner Olszewski",NE,"14","4 out of 5 stars","-"
"181",11,"Ray-Ray McCloud",PIT,"7","2 out of 5 stars","-"
"182",11,"K.J. Osborn",MIN,"7","3 out of 5 stars","-"
"183",12,"Justin Watson",TB,"9","2 out of 5 stars","-"
"184",12,"Mike Strachan",IND,"14","5 out of 5 stars","-46"
